Name,Total average income,Salary,Agriculture forestry aquaculture,Non agriculture forestry aquaculture,Others income,year
Ca nuoc,4250,2357,436,931,446,2020
Thanh thi,5590,3451,164,1402,544,2020
Nong thon,3482,1721,644,727,389,2020
Dong bang song Hong,5005,3021,309,1194,562,2020
Trung du va mien nui phia Bac,2745,1448,545,484,268,2020
Bac Trung Bo va Duyen hai mien Trung,3403,1765,433,792,415,2020
Tay Nguyen,2814,1150,873,591,201,2020
Dong Nam Bo,6025,3935,247,1369,475,2020
Dong bang song Cuu Long,3873,1635,773,960,506,2020
Ha Noi,6205,4012,170,1334,690,2020
Vinh Phuc,4290,2207,407,1306,371,2020
Bac Ninh,5439,2914,224,1791,511,2020
Quang Ninh,4539,2831,523,827,359,2020
Hai Duong,4388,2554,535,842,457,2020
Hai Phong,5199,3264,223,1073,640,2020
Hung Yen,4043,2217,406,1044,376,2020
Thai Binh,4209,2447,362,718,682,2020
Ha Nam,4029,2106,327,1227,370,2020
Nam Dinh,4096,1778,340,1492,486,2020
Ninh Binh,3904,2277,379,777,473,2020
Ha Giang,1835,955,525,210,146,2020
Cao Bang,2185,1130,398,377,280,2020
Bac Kan,2192,1118,634,258,183,2020
Tuyen Quang,2681,1368,668,381,264,2020
Lao Cai,2427,967,805,460,195,2020
Yen Bai,2522,1117,591,520,294,2020
Thai Nguyen,3806,2220,633,709,244,2020
Lang Son,2297,1200,461,440,195,2020
Bac Giang,3930,2253,476,762,439,2020
Phu Tho,3331,1847,412,659,415,2020
Dien Bien,1737,898,479,148,213,2020
Lai Chau,1905,934,512,297,163,2020
Son La,1745,690,582,333,140,2020
Hoa Binh,2707,1654,436,388,230,2020
Thanh Hoa,3510,1901,408,797,404,2020
Nghe An,3004,1385,382,721,517,2020
Ha Tinh,3230,1386,598,692,555,2020
Quang Binh,3150,1550,430,646,524,2020
Quang Tri,2853,1452,610,437,355,2020
Thua Thien - Hue,3212,1659,274,886,394,2020
Da Nang,5284,3143,110,1363,667,2020
Quang Nam,3555,1932,481,835,308,2020
Quang Ngai,3159,1595,444,764,356,2020
Binh Dinh,3441,1701,473,900,368,2020
Phu Yen,3224,1861,508,600,255,2020
Khanh Hoa,3153,2078,245,570,260,2020
Ninh Thuan,2918,1464,315,870,269,2020
Binh Thuan,3981,1870,837,952,323,2020
Kon Tum,2375,1109,717,394,156,2020
Gia Lai,2314,906,779,505,124,2020
Dak Lak,2715,1292,737,426,260,2020
Dak Nong,2809,826,1245,583,155,2020
Lam Dong,3742,1401,1068,1022,252,2020
Binh Phuoc,4039,1890,1055,840,255,2020
Tay Ninh,4246,2179,491,1111,465,2020
Binh Duong,7034,4985,205,1524,320,2020
Dong Nai,5621,3577,366,1217,462,2020
Ba Ria - Vung Tau,4610,2824,415,972,399,2020
TP. Ho Chi Minh,6537,4387,47,1531,571,2020
Long An,4232,2299,554,951,428,2020
Tien Giang,4534,2231,777,1080,447,2020
Ben Tre,3544,1448,920,720,457,2020
Tra Vinh,3437,1216,976,690,555,2020
Vinh Long,3201,1395,538,785,484,2020
Dong Thap,3965,1843,813,786,523,2020
An Giang,3338,1371,513,946,508,2020
Kien Giang,4369,1299,849,1560,661,2020
Can Tho,5031,2215,417,1722,678,2020
Hau Giang,3974,1482,827,937,728,2020
Soc Trang,3635,1376,840,764,656,2020
Bac Lieu,3338,1188,1178,671,302,2020
Ca Mau,3034,1152,967,552,364,2020
Ca nuoc,4205,2382,454,964,484,2021
Thanh thi,5388,3475,149,1451,491,2021
Nong thon,3486,1760,639,735,350,2021
Dong bang song Hong,5026,3051,282,1186,505,2021
Trung du va mien nui phia Bac,2837,1510,512,538,276,2021
Bac Trung Bo va Duyen hai mien Trung,3493,1864,406,823,398,2021
Tay Nguyen,2855,1170,953,553,179,2021
Dong Nam Bo,5794,3803,224,1346,419,2021
Dong bang song Cuu Long,3713,1631,776,877,428,2021
Ha Noi,6001,4109,216,1313,560,2021
Vinh Phuc,4511,2566,401,1220,322,2021
Bac Ninh,4916,2875,184,1474,381,2021
Quang Ninh,3991,2518,331,783,359,2021
Hai Duong,4303,2533,396,1003,372,2021
Hai Phong,5093,3123,232,1137,601,2021
Hung Yen,4192,2265,389,1206,332,2021
Thai Binh,4333,2577,391,685,681,2021
Ha Nam,4372,2372,232,1409,357,2021
Nam Dinh,4412,2144,297,1321,651,2021
Ninh Binh,4281,2299,335,1116,531,2021
Ha Giang,1933,854,462,420,197,2021
Cao Bang,2273,1222,410,374,264,2021
Bac Kan,2125,1077,553,328,166,2021
